chapter seventy-seven .	de las formas dels instrumentz que so necessaris a extrayre le fet .	0.572727
on the forms of instruments necessary for extracting the foetus .	forma de vertitge am la qual es uberta la mayre :	0.43
speculum for opening the entrance of the womb .	aquesta es la forma de strenhedor en le qual so engualhatz les libres , al qual engualhament sian dos virtitges en doas extremitatz de dos futz .	0.3
this is the type of instrument with which books are pressed .	may empero aquesta virtitge cove que sia pus subtil de strictori , e sia fayt o de eba o de fust de boys .	0.79819
it has two screws at either end of two pieces of wood ; but this instrument should be more slender than a book press , and should be made of ebony or boxwood .	e sia la latitut de quascun fust quays dos ditz e le marge de quascu amdos quays un dit , e la longitut de quascu es un palm e mig ; e en le mieg loc de dos fustz so dos ajustaments de aquel meteys fustz les quals ja son fermatz , dels quals la longitut es la maytat de un palm e un pauc mes , e la latitut de quascu es quay dos ditz , o un pauc mes .	0.731271
the width of each piece of wood should be about two fingers' breadth and the thickness about one , and the length a span and a half ; and in the middle of both pieces of wood , firmly attached , should be two projections made of the same kind of wood , each half a span long or a little more , and two fingers wide or a little more .	e aquestz dos additamentz sian entromeses en la boca de la mayre per que sia uberta am aquels quan tu revolves las doas prescriptas virtigges .	0.0480859
it is these two projections that are to be introduced into the vagina so that it is thereby opened when you turn the screws .	forma autra semblant de aquela pus subtil e pus leugiera :	0.22551
another instrument , for the same purpose , but smaller and lighter .	sia fayta de fustz de eba o de boys segon la semblansa de forceps .	1.13492
it is made of ebony or boxwood in the shape of forceps , but at the end it has two projections as you can see ; and the length of each is about a span and the breadth two fingers .	mays empero en la extremitat de lu so dos additament ayssi cum vezes , e la longitut de aquels additament es quays un palm , e la latitut de quascu es dos ditz .	0.700664
when you wish to open the womb with this , make the woman sit on a couch with her legs hanging down , parted ; then introduce the two projections pressed together into the orifice of the womb while you hold the end of the instrument lower down between her thighs ; then open your hand in the same way as you would do with forceps , to the extent to which you wish to open the womb , so as to allow the midwife to do what she desires .	e cum tu vols am aquels ubrir la mayre , lahoras tu fay cezer la femna sobre le lieyt les pes pendentz , ubert aquo que es entre las coyssas de lu .	-0.0199095
another type of screw speculum mentioned by the ancients .	e aprop obre la tua ma am le instrument ayssi cum fas am forfexs engualment segon la quantitat que vols de la aprecio de la boca de la mayre entro que la metrona fassa so que vols .	0.548182
figure of the thruster for thrusting the foetus .	la forma de vertitge la qual diysero les antics :	0.592683
figure of the cephalotribe for crushing the foetal head .	forma de impellent am le qual es empellit le fet :	0.514191
it resembles scissors with toothed jaws , as you see .	forma de amisidat2 am le qual es conterit le cap gran	0.543182
sometimes it is made long like forceps , as you see in this illustration , with teeth like the teeth of a saw ; and you may either cut or crush with it .	e es asemblat a forceps al qual so dentz en la extremitat , ayssi cum vezes , e alcunas veguadas es fayt lonc ayssi cum forceps segon aquesta forma , ayssi cum vezes , al qual so dentz ayssi cum dentz de ressegua am le qual es inscidit e conterit .	0.535183
figure of another thruster .	forma de amesidat pauc :	0.742857
figure of a hook .	forma de unci havent una spina :	0.56
this is a hook which should be rather thick so as not to break when extracting the foetus .	forma de unci havent doas spinas :	0.209483
figure of a doubleheaded hook .	forma de forceps a la qual so dentz de cerra am le qual le cap del fet sia conterit :	1.14127
figure of two broad scalpels for cutting up the foetus .	forma de spatum havent dos extremitatz am le qual le cap es abscindit :	0.473404
figure of a two-ended scalpel .	forma de dos espatums latz :	0.691071
the more types of these instruments the practitioner has ready by him , the more rapidly he operates , and the greater his reputation among men .	totz aquels instrumentz so excersitatz , e quan mes so multiplicadas las specias de aquel e so preparadas deves le artifexs , quant es pus leugier a la sua opperacio e pus aut deves les homes per la sua quantitat .	0.483929
so do not neglect to have ready by you a single one of these instruments , for you will certainly need it .	e no obres de aquels instrumentz ja sia qua sia deves tu aparalhat , quar la necessitat de aquels no es excusabla .	0.647093
		0.3
